,make,fuel-type,body-style,curb-weight,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
42,honda,gas,sedan,2293,4,110,100.0,25,31,10345.0
43,isuzu,gas,sedan,2337,4,111,78.0,24,29,6785.0
44,isuzu,gas,sedan,1874,4,90,70.0,38,43,
45,isuzu,gas,sedan,1909,4,90,70.0,38,43,
46,isuzu,gas,hatchback,2734,4,119,90.0,24,29,11048.0
47,jaguar,gas,sedan,4066,6,258,176.0,15,19,32250.0
48,jaguar,gas,sedan,4066,6,258,176.0,15,19,35550.0
49,jaguar,gas,sedan,3950,12,326,262.0,13,17,36000.0
50,mazda,gas,hatchback,1890,4,91,68.0,30,31,5195.0
51,mazda,gas,hatchback,1900,4,91,68.0,31,38,6095.0
52,mazda,gas,hatchback,1905,4,91,68.0,31,38,6795.0
53,mazda,gas,sedan,1945,4,91,68.0,31,38,6695.0
54,mazda,gas,sedan,1950,4,91,68.0,31,38,7395.0
55,mazda,gas,hatchback,2380,2,70,101.0,17,23,10945.0
56,mazda,gas,hatchback,2380,2,70,101.0,17,23,11845.0
57,mazda,gas,hatchback,2385,2,70,101.0,17,23,13645.0
58,mazda,gas,hatchback,2500,2,80,135.0,16,23,15645.0
59,mazda,gas,hatchback,2385,4,122,84.0,26,32,8845.0
60,mazda,gas,sedan,2410,4,122,84.0,26,32,8495.0
61,mazda,gas,hatchback,2385,4,122,84.0,26,32,10595.0
62,mazda,gas,sedan,2410,4,122,84.0,26,32,10245.0
63,mazda,diesel,sedan,2443,4,122,64.0,36,42,10795.0
64,mazda,gas,hatchback,2425,4,122,84.0,26,32,11245.0
65,mazda,gas,sedan,2670,4,140,120.0,19,27,18280.0
66,mazda,diesel,sedan,2700,4,134,72.0,31,39,18344.0
67,mercedes-benz,diesel,sedan,3515,5,183,123.0,22,25,25552.0
68,mercedes-benz,diesel,wagon,3750,5,183,123.0,22,25,28248.0
69,mercedes-benz,diesel,hardtop,3495,5,183,123.0,22,25,28176.0
70,mercedes-benz,diesel,sedan,3770,5,183,123.0,22,25,31600.0
71,mercedes-benz,gas,sedan,3740,8,234,155.0,16,18,34184.0
72,mercedes-benz,gas,convertible,3685,8,234,155.0,16,18,35056.0
73,mercedes-benz,gas,sedan,3900,8,308,184.0,14,16,40960.0
74,mercedes-benz,gas,hardtop,3715,8,304,184.0,14,16,45400.0
75,mercury,gas,hatchback,2910,4,140,175.0,19,24,16503.0
76,mitsubishi,gas,hatchback,1918,4,92,68.0,37,41,5389.0
77,mitsubishi,gas,hatchback,1944,4,92,68.0,31,38,6189.0
78,mitsubishi,gas,hatchback,2004,4,92,68.0,31,38,6669.0
79,mitsubishi,gas,hatchback,2145,4,98,102.0,24,30,7689.0
80,mitsubishi,gas,hatchback,2370,4,110,116.0,23,30,9959.0
81,mitsubishi,gas,hatchback,2328,4,122,88.0,25,32,8499.0
82,mitsubishi,gas,hatchback,2833,4,156,145.0,19,24,12629.0
83,mitsubishi,gas,hatchback,2921,4,156,145.0,19,24,14869.0
84,mitsubishi,gas,hatchback,2926,4,156,145.0,19,24,14489.0
85,mitsubishi,gas,sedan,2365,4,122,88.0,25,32,6989.0
86,mitsubishi,gas,sedan,2405,4,122,88.0,25,32,8189.0
87,mitsubishi,gas,sedan,2403,4,110,116.0,23,30,9279.0
88,mitsubishi,gas,sedan,2403,4,110,116.0,23,30,9279.0
89,nissan,gas,sedan,1889,4,97,69.0,31,37,5499.0
90,nissan,diesel,sedan,2017,4,103,55.0,45,50,7099.0
91,nissan,gas,sedan,1918,4,97,69.0,31,37,6649.0
92,nissan,gas,sedan,1938,4,97,69.0,31,37,6849.0
93,nissan,gas,wagon,2024,4,97,69.0,31,37,7349.0
94,nissan,gas,sedan,1951,4,97,69.0,31,37,7299.0
95,nissan,gas,hatchback,2028,4,97,69.0,31,37,7799.0
96,nissan,gas,sedan,1971,4,97,69.0,31,37,7499.0
97,nissan,gas,wagon,2037,4,97,69.0,31,37,7999.0
98,nissan,gas,hardtop,2008,4,97,69.0,31,37,8249.0
99,nissan,gas,hatchback,2324,4,120,97.0,27,34,8949.0
100,nissan,gas,sedan,2302,4,120,97.0,27,34,9549.0
101,nissan,gas,sedan,3095,6,181,152.0,17,22,13499.0
102,nissan,gas,wagon,3296,6,181,152.0,17,22,14399.0
103,nissan,gas,sedan,3060,6,181,152.0,19,25,13499.0
104,nissan,gas,hatchback,3071,6,181,160.0,19,25,17199.0
105,nissan,gas,hatchback,3139,6,181,200.0,17,23,19699.0
106,nissan,gas,hatchback,3139,6,181,160.0,19,25,18399.0
107,peugot,gas,sedan,3020,4,120,97.0,19,24,11900.0
108,peugot,diesel,sedan,3197,4,152,95.0,28,33,13200.0
109,peugot,gas,wagon,3230,4,120,97.0,19,24,12440.0
110,peugot,diesel,wagon,3430,4,152,95.0,25,25,13860.0
111,peugot,gas,sedan,3075,4,120,95.0,19,24,15580.0
112,peugot,diesel,sedan,3252,4,152,95.0,28,33,16900.0
113,peugot,gas,wagon,3285,4,120,95.0,19,24,16695.0
114,peugot,diesel,wagon,3485,4,152,95.0,25,25,17075.0
115,peugot,gas,sedan,3075,4,120,97.0,19,24,16630.0
116,peugot,diesel,sedan,3252,4,152,95.0,28,33,17950.0
117,peugot,gas,sedan,3130,4,134,142.0,18,24,18150.0
118,plymouth,gas,hatchback,1918,4,90,68.0,37,41,5572.0
119,plymouth,gas,hatchback,2128,4,98,102.0,24,30,7957.0
120,plymouth,gas,hatchback,1967,4,90,68.0,31,38,6229.0
121,plymouth,gas,sedan,1989,4,90,68.0,31,38,6692.0
122,plymouth,gas,sedan,2191,4,98,68.0,31,38,7609.0
123,plymouth,gas,wagon,2535,4,122,88.0,24,30,8921.0
124,plymouth,gas,hatchback,2818,4,156,145.0,19,24,12764.0
125,porsche,gas,hatchback,2778,4,151,143.0,19,27,22018.0
126,porsche,gas,hardtop,2756,6,194,207.0,17,25,32528.0
127,porsche,gas,hardtop,2756,6,194,207.0,17,25,34028.0
128,porsche,gas,convertible,2800,6,194,207.0,17,25,37028.0
129,porsche,gas,hatchback,3366,8,203,288.0,17,28,
130,renault,gas,wagon,2579,4,132,,23,31,9295.0
131,renault,gas,hatchback,2460,4,132,,23,31,9895.0
132,saab,gas,hatchback,2658,4,121,110.0,21,28,11850.0
133,saab,gas,sedan,2695,4,121,110.0,21,28,12170.0
134,saab,gas,hatchback,2707,4,121,110.0,21,28,15040.0
135,saab,gas,sedan,2758,4,121,110.0,21,28,15510.0
136,saab,gas,hatchback,2808,4,121,160.0,19,26,18150.0
137,saab,gas,sedan,2847,4,121,160.0,19,26,18620.0
138,subaru,gas,hatchback,2050,4,97,69.0,31,36,5118.0
139,subaru,gas,hatchback,2120,4,108,73.0,26,31,7053.0
140,subaru,gas,hatchback,2240,4,108,73.0,26,31,7603.0
141,subaru,gas,sedan,2145,4,108,82.0,32,37,7126.0
142,subaru,gas,sedan,2190,4,108,82.0,28,33,7775.0
143,subaru,gas,sedan,2340,4,108,94.0,26,32,9960.0
144,subaru,gas,sedan,2385,4,108,82.0,24,25,9233.0
145,subaru,gas,sedan,2510,4,108,111.0,24,29,11259.0
146,subaru,gas,wagon,2290,4,108,82.0,28,32,7463.0
147,subaru,gas,wagon,2455,4,108,94.0,25,31,10198.0
148,subaru,gas,wagon,2420,4,108,82.0,23,29,8013.0
149,subaru,gas,wagon,2650,4,108,111.0,23,23,11694.0
150,toyota,gas,hatchback,1985,4,92,62.0,35,39,5348.0
151,toyota,gas,hatchback,2040,4,92,62.0,31,38,6338.0
152,toyota,gas,hatchback,2015,4,92,62.0,31,38,6488.0
153,toyota,gas,wagon,2280,4,92,62.0,31,37,6918.0
154,toyota,gas,wagon,2290,4,92,62.0,27,32,7898.0
155,toyota,gas,wagon,3110,4,92,62.0,27,32,8778.0
156,toyota,gas,sedan,2081,4,98,70.0,30,37,6938.0
157,toyota,gas,hatchback,2109,4,98,70.0,30,37,7198.0
158,toyota,diesel,sedan,2275,4,110,56.0,34,36,7898.0
159,toyota,diesel,hatchback,2275,4,110,56.0,38,47,7788.0
160,toyota,gas,sedan,2094,4,98,70.0,38,47,7738.0
161,toyota,gas,hatchback,2122,4,98,70.0,28,34,8358.0
162,toyota,gas,sedan,2140,4,98,70.0,28,34,9258.0
163,toyota,gas,sedan,2169,4,98,70.0,29,34,8058.0
164,toyota,gas,hatchback,2204,4,98,70.0,29,34,8238.0
165,toyota,gas,sedan,2265,4,98,112.0,26,29,9298.0
166,toyota,gas,hatchback,2300,4,98,112.0,26,29,9538.0
167,toyota,gas,hardtop,2540,4,146,116.0,24,30,8449.0
168,toyota,gas,hardtop,2536,4,146,116.0,24,30,9639.0
169,toyota,gas,hatchback,2551,4,146,116.0,24,30,9989.0
170,toyota,gas,hardtop,2679,4,146,116.0,24,30,11199.0
171,toyota,gas,hatchback,2714,4,146,116.0,24,30,11549.0
172,toyota,gas,convertible,2975,4,146,116.0,24,30,17669.0
173,toyota,gas,sedan,2326,4,122,92.0,29,34,8948.0
174,toyota,diesel,sedan,2480,4,110,73.0,30,33,10698.0
175,toyota,gas,hatchback,2414,4,122,92.0,27,32,9988.0
176,toyota,gas,sedan,2414,4,122,92.0,27,32,10898.0
177,toyota,gas,hatchback,2458,4,122,92.0,27,32,11248.0
178,toyota,gas,hatchback,2976,6,171,161.0,20,24,16558.0
179,toyota,gas,hatchback,3016,6,171,161.0,19,24,15998.0
180,toyota,gas,sedan,3131,6,171,156.0,20,24,15690.0
181,toyota,gas,wagon,3151,6,161,156.0,19,24,15750.0
182,volkswagen,diesel,sedan,2261,4,97,52.0,37,46,7775.0
183,volkswagen,gas,sedan,2209,4,109,85.0,27,34,7975.0
184,volkswagen,diesel,sedan,2264,4,97,52.0,37,46,7995.0
185,volkswagen,gas,sedan,2212,4,109,85.0,27,34,8195.0
186,volkswagen,gas,sedan,2275,4,109,85.0,27,34,8495.0
187,volkswagen,diesel,sedan,2319,4,97,68.0,37,42,9495.0
188,volkswagen,gas,sedan,2300,4,109,100.0,26,32,9995.0
189,volkswagen,gas,convertible,2254,4,109,90.0,24,29,11595.0
190,volkswagen,gas,hatchback,2221,4,109,90.0,24,29,9980.0
191,volkswagen,gas,sedan,2661,5,136,110.0,19,24,13295.0
192,volkswagen,diesel,sedan,2579,4,97,68.0,33,38,13845.0
193,volkswagen,gas,wagon,2563,4,109,88.0,25,31,12290.0
194,volvo,gas,sedan,2912,4,141,114.0,23,28,12940.0
195,volvo,gas,wagon,3034,4,141,114.0,23,28,13415.0
196,volvo,gas,sedan,2935,4,141,114.0,24,28,15985.0
197,volvo,gas,wagon,3042,4,141,114.0,24,28,16515.0
198,volvo,gas,sedan,3045,4,130,162.0,17,22,18420.0
199,volvo,gas,wagon,3157,4,130,162.0,17,22,18950.0
200,volvo,gas,sedan,2952,4,141,114.0,23,28,16845.0
201,volvo,gas,sedan,3049,4,141,160.0,19,25,19045.0
202,volvo,gas,sedan,3012,6,173,134.0,18,23,21485.0
203,volvo,diesel,sedan,3217,6,145,106.0,26,27,22470.0
204,volvo,gas,sedan,3062,4,141,114.0,19,25,22625.0
